Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10011,Salcedo,Anthony,09/14/1993,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",070-766-300,26-9647608-3,1264-4531-5651,210-805-911-000,2180-0247-3454,Regular,Payroll Manager,"Alvaro, Roderick","50,825","1,500","1,000","1,000","25,413",303
10012,Lopez,Josie ,01/14/1987,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",478-355-427,44-8563448-3,4317-0901-1012,218-489-737-000,1130-7129-3354,Regular,Payroll Team Leader,"Salcedo, Anthony","38,475","1,500",800,800,"19,238",229
10013,Farala,Martha,01/11/1942,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte ",329-034-366,45-5656375-0,2336-9389-7247,210-835-851-000,6311-3028-3546,Regular,Payroll Rank and File,"Salcedo, Anthony","24,000","1,500",500,500,"12,000",143
10014,Martinez,Leila,07/11/1970,"37/46 Kulas Roads, Maragondon 0962 Quirino ",877-110-749,27-2090996-4,5157-4105-7496,275-792-513-000,1012-0544-5886,Regular,Payroll Rank and File,"Salcedo, Anthony","24,000","1,500",500,500,"12,000",143
10015,Romualdez,Fredrick ,03/10/1985,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",023-079-009,26-8768374-1,3083-6686-0059,598-065-761-000,2230-5770-7853,Regular,Account Manager,"Lim, Antonio","53,500","1,500","1,000","1,000","26,750",318
10016,Mata,Christian,10/21/1987,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu ",783-776-744,49-2959312-6,8241-8796-1962,103-100-522-000,6310-5285-3464,Regular,Account Team Leader,"Romualdez, Fredrick ","42,975","1,500",800,800,"21,488",256
10017,De Leon,Selena ,02/20/1975,"89A Armstrong Trace, Compostela 7874 Maguindanao",975-432-139,27-2090208-8,5872-7246-9938,482-259-498-000,7190-0760-8464,Regular,Account Team Leader,"Romualdez, Fredrick ","41,850","1,500",800,800,"20,925",249
10018,San Jose,Allison ,06/24/1986,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",179-075-129,45-3251383-0,7451-4845-9521,121-203-336-000,1149-0185-9343,Regular,Account Rank and File,"Mata, Christian","22,500","1,500",500,500,"11,250",134
10019,Rosario,Cydney ,10/06/1996,"93A/21 Berge Points, Tapaz 2180 Quezon",868-819-912,49-1629900-2,5792-5343-5499,122-244-511-000,2651-0435-8643,Regular,Account Rank and File,"Mata, Christian","22,500","1,500",500,500,"11,250",134
10020,Bautista,Mark ,02/12/1991,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",683-725-348,49-1647342-5,3996-6515-7135,273-970-941-000,2600-5458-5575,Regular,Account Rank and File,"Mata, Christian","23,250","1,500",500,500,"11,625",138
10021,Lazaro,Darlene ,11/25/1985,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",740-721-558,45-5617168-2,6063-8691-7510,354-650-951-000,1049-0770-8845,Probationary,Account Rank and File,"Mata, Christian","23,250","1,500",500,500,"11,625",138
10022,Delos Santos,Kolby ,02/26/1980,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",739-443-033,52-0109570-6,3574-5127-1274,187-500-345-000,1130-1798-8667,Probationary,Account Rank and File,"Mata, Christian","24,000","1,500",500,500,"12,000",143
10023,Santos,Vella ,12/31/1983,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",955-879-269,52-9883524-3,5486-7048-2885,101-558-994-000,3600-2810-4576,Probationary,Account Rank and File,"Mata, Christian","22,500","1,500",500,500,"11,250",134
10024,Del Rosario,Tomas,12/18/1978,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",882-550-989,45-5866331-6,9539-0153-9995,560-735-732-000,9131-0864-9964,Probationary,Account Rank and File,"Mata, Christian","22,500","1,500",500,500,"11,250",134
10025,Tolentino,Jacklyn ,05/19/1984,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",675-757-366,47-1692793-0,7538-0065-4114,841-177-857-000,2105-4666-1243,Probationary,Account Rank and File,"De Leon, Selena","24,000","1,500",500,500,"12,000",143
10026,Gutierrez,Percival ,12/18/1970,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",512-899-876,40-9504657-8,7976-3938-2265,502-995-671-000,2108-9709-5686,Probationary,Account Rank and File,"De Leon, Selena","24,750","1,500",500,500,"12,375",147
10027,Manalaysay,Garfield ,08/28/1986,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",948-628-136,45-3298166-4,8109-0928-6264,336-676-445-000,2112-7447-6563,Probationary,Account Rank and File,"De Leon, Selena","24,750","1,500",500,500,"12,375",147
10028,Villegas,Lizeth ,12/12/1981,"66/77 Mann Views, Luisiana 1263 Dinagat Islands",332-372-215,40-2400719-4,9343-8965-2994,210-395-397-000,1222-3807-7997,Probationary,Account Rank and File,"De Leon, Selena","24,000","1,500",500,500,"12,000",143
10029,Ramos,Carol ,08/20/1978,"72/70 Stamm Spurs, Bustos 4550 Iloilo",250-700-389,60-1152206-4,3518-3046-9744,395-032-717-000,2121-4189-3454,Probationary,Account Rank and File,"De Leon, Selena","22,500","1,500",500,500,"11,250",134
10030,Maceda,Emelia ,04/14/1973,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",973-358-041,54-1331005-0,4650-8789-4112,215-973-013-000,5150-1257-9765,Probationary,Account Rank and File,"De Leon, Selena","22,500","1,500",500,500,"11,250",134
10031,Aguilar,Delia ,01/27/1989,"95 Cremin Junction, Surallah 2809 Cotabato",529-705-439,52-1859253-1,1364-5130-3068,599-312-588-000,1100-1881-3465,Probationary,Account Rank and File,"De Leon, Selena","22,500","1,500",500,500,"11,250",134
10032,Castro,John Rafael,02/09/1992,"Hi-way, Yati, Liloan Cebu",332-424-955,26-7145133-4,6016-4490-2402,404-768-309-000,6977-6406-9311,Regular,Sales & Marketing,"Reyes, Isabella","52,670","1,500","1,000","1,000","26,335",314
10033,Martinez,Carlos Ian,11/16/1990,"Bulala, Camalaniugan",078-854-208,11-5062972-7,3806-8538-7212,256-436-296-000,9933-7296-3726,Regular,Supply Chain and Logistics,"Reyes, Isabella","52,670","1,500","1,000","1,000","26,335",314
10034,Santos,Beatriz,08/07/1990,"Agapita Building, Metro Manila",526-639-511,20-2987501-5,9184-6005-0077,911-529-713-000,8740-4225-9378,Regular,Customer Service and Relations,"Reyes, Isabella","52,670","1,500","1,000","1,000","26,335",314
